date,merchant,amount,direction,accountRef
2026-04-01,SALARY FONTERRA LTD,4100.00,credit,****7756
2026-04-02,PAK N SAVE HAMILTON,142.80,debit,****7756
2026-04-03,MITRE 10 MEGA,89.50,debit,****7756
2026-04-04,MERCURY ENERGY,168.20,debit,****7756
2026-04-05,SPARK BROADBAND,89.99,debit,****7756
2026-04-06,THE WAREHOUSE,53.40,debit,****7756
2026-04-08,COUNTDOWN HAMILTON,96.75,debit,****7756
2026-04-09,Z ENERGY HAMILTON,80.00,debit,****7756
2026-04-10,BINANCE,500.00,debit,****7756
2026-04-11,BINANCE,750.00,debit,****7756
2026-04-12,BINANCE,900.00,debit,****7756
2026-04-14,NOEL LEEMING,220.00,debit,****7756
2026-04-15,MORTGAGE PAYMENT,1650.00,debit,****7756
2026-04-17,PAK N SAVE HAMILTON,131.20,debit,****7756
2026-04-19,INTERNATIONAL TRANSFER TO J WU,3500.00,debit,****7756
2026-04-21,COUNTDOWN HAMILTON,88.40,debit,****7756
2026-04-23,TAB ONLINE BETTING,300.00,debit,****7756
2026-04-25,MERCURY ENERGY REFUND,44.10,credit,****7756
2026-04-27,BUNNINGS HAMILTON,67.30,debit,****7756
2026-04-29,PAK N SAVE HAMILTON,119.60,debit,****7756
