date,merchant,amount,direction,accountRef
2026-06-15,COUNTDOWN AUCKLAND CBD,87.42,debit,****4821
2026-06-15,SPARK NZ MOBILE,49.99,debit,****4821
2026-06-16,UBER TRIP,18.50,debit,****4821
2026-06-17,PAK N SAVE MT ALBERT,102.10,debit,****4821
2026-06-18,NETFLIX.COM,22.99,debit,****4821
2026-06-19,MCDONALDS QUEEN ST,14.20,debit,****4821
2026-06-20,SALARY PAYMENT ACME LTD,2450.00,credit,****4821
2026-06-21,CONTACT ENERGY,145.30,debit,****4821
2026-06-22,BUNNINGS WAREHOUSE,63.75,debit,****4821
2026-06-23,SPOTIFY,14.99,debit,****4821
2026-06-24,ELECTRONICS WORLD HK,1850.00,debit,****4821
2026-06-25,GLORIA JEANS COFFEE,6.50,debit,****4821
2026-06-26,PAK N SAVE MT ALBERT,95.20,debit,****4821
2026-06-27,MCDONALDS QUEEN ST,14.20,debit,****4821
2026-06-27,MCDONALDS QUEEN ST,14.20,debit,****4821
2026-06-28,UNKNOWN MERCHANT OVERSEAS,499.00,debit,****4821
2026-06-29,COUNTDOWN AUCKLAND CBD,91.30,debit,****4821
2026-06-30,RENT PAYMENT,650.00,debit,****4821
